"tsearch","eentry"
"แยกแยะ","distinguish"
"แยกส่วน","separate"
"แย่ง","catch"
"แย้ง","contradict"
"แย่งชิง","snatch"
"แย้ม","blossom"
"แย้ม","reveal"
"โยกย้าย","remove"
"โรย","sprinkle"
"โรย","pay out"
"โรย","unroll"
"โรย","fade"
"แลกเปลี่ยน","exchange"
"แวดล้อม","surround"
"ไว้","keep"
"ศรัทธา","believe in"
"ศึกษา","study"
"ศึกษาเล่าเรียน","study"
"ศึกษาวิจัย","research"
"ศูนย์","disappear"
"โศก","be sad"
"โศกเศร้า","grieve"
"สกปรก","be dirty"
"สกัดกั้น","intercept"
"ส่งข่าว","send"
"สงเคราะห์","support"
"ส่งผล","affect"
"ส่งผลกระทบ","have an affect on"
"ส่งผลลัพธ์","effect"
"ส่งมอบ","deliver"
"สงวน","reserve"
"ส่งสัญญาณ","signal"
"สงสัย","doubt"
"สงสาร","pity"
"ส่งสินค้า","transport"
"ส่งเสริม","promote"
"สดชื่น","be fresh"
"สดใส","be bright"
"สดุดี","praise"
"สถาปนา","found"
"สนทนา","talk"
"สนธิ","join"
"สนองตอบ","respond"
"สนับสนุน","support"
"สนิท","intimate"
"สนิทสนม","intimate"
"สนุกสนาน","amuse"
"สบายใจ","be happy"
"สเปรย์","spray"
"สมดุล","equilibrium"
"สมดุลย์","equilibrium"
"สมทบ","join"
"สมบูรณ์","be perfect"
"สมบูรณ์แบบ","be perfect"
"สมมติ","suppose"
"สมมุติ","suppose"
"สมรส","marry"
"สมองไหล","brain drain"
"สมัคร","volunteer"
"สมัครงาน","apply for"
"สมัครใจ","be willing to"
"สรงน้ำ","take a bath"
"สรงน้ำพระ","pour water"
"สรรหา","search for"
"สร้าง","build"
"สร้างงาน","make a job"
"สร้างปัญหา","make trouble"
"สร้างภาพ","imagine"
"สร้างสรรค์","create"
"สรุป","sum up"
"สรุปผล","conclude"
"สลับซับซ้อน","complicate"
"สวนกระแส","reverse trend"
"สวมมงคล","wear the garland"
"สวรรคต","pass away"
"สอบถาม","ask"
"สอบปากคำ","interrogate"
"สอบสวน","investigate"
"สะกด","spell"
"สะใจ","satisfy"
"สะดวก","be convenient"
"สะดุ้ง","shudder"
"สะดุด","discontinue"
"สะดุด","stumble"
"สะเดาะเคราะห์","exorcise"
"สะท้อน","reflect"
"สะท้อน","echo"
"สะท้อนชีวิต","give an expression of life"
"สะท้อนปัญหา","reflect on"
"สะท้อนแสง","reflect"
"สะท้าน","shiver"
"สะเทือน","shake"
"สะเทือนใจ","be hurt"
"สะบัด","shake off"
"สะพัด","spread out"
"สะสาง","clear up"
"สะอาด","be clean"
"สะอื้น","sob"
"สังกัด","belong to"
"สังเกต","observe"
"สั่งงาน","command"
"สั่งซื้อ","order"
"สังเวยบูชา","offer"
"สั่งสม","collect"
"สังสรรค์","get together"
"สั่งสอน","teach"
"สังหาร","kill"
"สัญจร","travel"
"สัญญา","promise"
"สันนิษฐาน","presume"
"สั่นสะเทือน","quake"
"สัมผัส","feel"
"สัมผัส","touch"
"สัมภาษณ์","interview"
"สาดโคลน","malign"
"สาธิต","demonstrate"
"สาบาน","swear"
"สามัคคี","harmonize"
"สำคัญ","important"
"สำนึก","realize"
"สำรวจ","survey"
"สำรอง","reserve"
"สำรองข้อมูล","store data"
"สำราญ","be happy"
"สำเร็จ","finish"
"สำเร็จผล","succeed"
"สำลัก","choke"
"สิ้นเปลือง","waste"
"สิ้นพระชนม์","pass away"
"สิ้นสุด","end"
"สืบ","detect"
"สืบค้น","retrieve"
"สืบเนื่อง","proceed"
"สืบพันธุ์","reproduce"
"สืบราชสมบัติ","succeed to the throne"
"สืบราชสันตติวงศ์","succeed to the throne"
"สืบสวนคดี","investigate"
"สืบสวนสอบสวน","investigate"
"สืบสาน","continue"
"สืบสาว","investigate"
"สื่อสาร","communicate"
"สุขสบาย","comfortably"
"สุขุม","keep cool"
"สุภาพ","be polite"
"สูง","be high"
"สูงชัน","be steep"
"สูงส่ง","be lofty"
"สูญ","lose"
"สูญพันธุ์","become extinct"
"สูญหาย","loss"
"สูบ","suck"
"สูบ","smoke"
"สู้รบ","fight"
"แสดง","show"
"แสดงเจตจำนง","aim at"
"แสดงเจตนา","intent to"
"แสดงผล","show"
"แสดงผลลัพธ์","show the result"
"แสดงพฤติกรรม","conduct"
"แสวงหา","seek for"
"แสวงหาผลประโยชน์","find the benefit"
"ใส่ใจ","attend"
"ใส่บาตร","offer food to monk"
"แห้ง","be dry"
"แหงน","turn up"
"แหงนมอง","look up"
"แห้งแล้ง","dry"
"แหลม","be sharp"
"แหวก","part"
"โหดร้าย","be cruel"
"โหดร้าย","be cruel"
"โหมแรง","make an all-out effort"
"ให้","give"
"ใหญ่หลวง","be great"
"ไหม้","burn"
"ไหลบ่า","flood"
"ไหว้","salute"
"ไหว้พระ","pay respect to the Buddha"
"แอบแฝง","hide"
"โอนเงิน","transfer"
"โอ้อวด","boast"
"ฮือฮา","be popular"
"แก้ไขปรับปรุง","adjust"
"แก้ไขปัญหา","solve"
"ขจัดปัญหา","eliminate (a problem)"
"ขนถ่าย","transfer"
"ขนถ่ายสินค้า","transfer goods"
"ขนย้าย","move"
"ขนส่งสินค้า","transport goods"
"ขยายพันธุ์","breed"
"ขยายวง","expand (boundaries)"
"ขยายสาขา","increase the number of branches"
"ขยายอาณาเขต","expand (territory)"
"ขอฝน","pray for rainfall"
"ขอเวลา","spare some time"
"ขัดผลประโยชน์","conflict of interest"
"ขาดดุล","run deficit"
"ขาดสภาพคล่อง","be illiquid"
"ขาดสารอาหาร","nutrition deficiency"
"ข้ามฟาก","cross"
"ขุดเจาะ","drill"
"ครองแชมป์","become a champion"
"ครองตลาด","dominate the market"
"ครองตำแหน่ง","to be crowned"
"ครองแผ่นดิน","rule"
"คร่าชีวิต","kill"
"คว้าแชมป์","snatch the championship"
"คว้ารางวัล","snatch the prize"
"คับข้องใจ","frustrate"
"ค้างชำระ","be in arrears"
"คืนทุน","pay back"
"โค่นล้ม","eliminate"
"จดทะเบียนสมรส","register a marriage certificate"
"จดสิทธิบัตร","register a patent"
"จบสิ้น","finish"
"จัดงาน","arrange"
"จัดจ้าง","employ"
"จัดซื้อ","purchase"
"จัดซื้อจัดจ้าง","procure"
"จัดลำดับ","rearrange"
"จัดวาง","arrange"
"จัดส่ง","send"
"จัดอันดับ","rank"
"จับอาวุธ","arm"
"จ้างวาน","hire"
"จ่ายไฟ","turn on the power"
"จำแนกประเภท","classify"
"ฉายรังสี","treat by radiation"
